CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,x,y
10-1-079141,-84.9183,345.368,-84.9184,345.368,1.0793,0.0381815,1.14939,1.01138,0.475105,1.13646,104.317,0.000448402,0.00435983,0.0339175,0.0294754,10.0435,0.0675908,0.047134,1.0,10,-38951.23282272612,149194.43834840902
10-1-079142,-85.0662,347.513,-85.0663,347.512,1.84885,0.0103246,1.86415,1.83703,0.169967,1.01476,40.2451,0.000153602,0.00187732,0.0134173,0.0107324,18.4336,0.0529655,0.00940705,0.825665,13,-32368.251342288353,146160.678455266
10-1-079143,-85.0569,348.179,-85.0569,348.177,1.46732,0.0139151,1.49384,1.44844,0.24466,1.03134,30.4265,0.000177677,0.00220439,0.0163206,0.012138,12.3038,0.0529095,0.0142006,0.799912,11,-30725.024801004674,146803.58068479906
10-1-079144,-84.954,347.811,-84.9543,347.807,1.40972,0.0510553,1.52166,1.27918,0.541581,1.18956,164.607,0.000183617,0.00276975,0.013178,0.0138033,3.48451,0.0180544,0.016459,0.733145,10,-32327.334970391916,149658.94526183736
10-1-079145,-84.9104,346.559,-84.9105,346.558,1.14618,0.0373569,1.22171,1.08098,0.465949,1.13018,124.931,0.000458059,0.00428447,0.0332077,0.0282363,10.6395,0.0633404,0.0426055,1.0,9,-35897.54836861438,150205.27499448144
10-1-079146,-84.9883,348.483,-84.9884,348.481,1.71307,0.0219344,1.72252,1.6914,0.189218,1.0184,124.336,0.000359581,0.00669541,0.0247453,0.0413727,52.9329,0.14455,0.028889,0.755042,13,-30361.79634411484,149006.6833861707
10-1-079147,-85.0679,349.584,-85.0683,349.582,1.5254,0.0162635,1.54792,1.47615,0.300972,1.04862,159.024,0.000283852,0.00296389,0.0136282,0.0245156,11.0637,0.0567974,0.0197111,0.72116,12,-27055.831897510598,147184.13447471696
10-1-079148,-85.0434,349.764,-85.0435,349.763,1.03324,0.0133161,1.05478,1.01137,0.283941,1.04292,86.8996,0.000477911,0.00583898,0.0313679,0.0269036,39.9205,0.129194,0.041613,0.678531,7,-26725.57218901823,148000.86705072646
10-1-079149,-85.0293,350.835,-85.0293,350.835,1.13207,0.0179272,1.14741,1.11236,0.245281,1.03151,21.1121,0.000281809,0.00290138,0.0187923,0.0203338,26.9835,0.0940436,0.0253171,1.0,10,-24022.790438800756,148897.44332538688
10-1-079151,-85.1562,349.997,-85.1562,350.006,1.23259,0.0408827,1.28562,1.1279,0.479911,1.13984,76.9136,0.000408537,0.00817918,0.0305067,0.0489074,11.5185,0.0792758,0.0563418,0.719618,10,-25528.2667399915,144733.68006983006
10-1-079152,-85.1339,351.94,-85.1336,351.945,4.2098,0.0629675,4.30325,4.09384,0.308158,1.05115,132.82,0.000342543,0.00420595,0.0248546,0.0270757,5.60733,0.0257884,0.00922992,0.888437,33,-20701.33991514603,146186.7421225943
10-1-079154,-85.3797,349.512,-85.3797,349.519,2.21986,0.0436587,2.27125,2.13091,0.346071,1.06586,93.2991,0.00053036,0.00859858,0.0363599,0.0538562,13.2226,0.076095,0.0318877,0.742855,15,-25516.715980531742,137836.98405988177
10-1-079155,-85.349,345.166,-85.3489,345.168,1.01927,0.0407284,1.0874,0.939724,0.503157,1.15715,24.5384,0.00041483,0.00519988,0.0301627,0.0298723,10.1119,0.062621,0.048819,1.0,10,-36127.26079599993,136408.3858776703
10-1-079158,-85.6039,347.297,-85.6039,347.297,2.07666,0.0325078,2.14881,2.00337,0.361642,1.0726,179.3,0.000173632,0.00235418,0.0127808,0.0124306,4.45458,0.0206587,0.00921914,0.867056,18,-29327.682074560336,130105.4244231523
10-1-079161,-85.514,345.156,-85.514,345.155,1.51597,0.0228507,1.53505,1.49863,0.216524,1.0243,166.669,0.000451386,0.00847366,0.0460392,0.0336004,54.819,0.164834,0.038356,0.755249,10,-34867.228582161784,131558.0067163752
10-1-079162,-85.4361,344.599,-85.4366,344.613,1.93807,0.0978673,2.15105,1.66185,0.634923,1.29437,29.8205,0.00055546,0.00818035,0.0429949,0.04489,4.37116,0.0315892,0.0434948,0.756904,15,-36772.81260934578,133493.7537347162
10-1-079163,-85.3983,343.054,-85.3982,343.062,1.30223,0.0287867,1.392,1.25302,0.435553,1.11091,174.252,0.000188255,0.0045853,0.0273069,0.0143004,5.80454,0.0422219,0.0252125,0.759118,11,-40693.33669665598,133551.96101580386
10-1-079164,-85.3884,343.66,-85.3887,343.646,1.8736,0.0467944,2.02325,1.79546,0.460968,1.12687,31.82,0.000401737,0.00747709,0.0462979,0.0245835,7.01709,0.0455565,0.0300496,0.772359,12,-39363.14279726455,134263.42592522604
